"NLists" "NSppDetec"
"2127" 15 2
"2128" 6 1
"2134" 1 1
"2136" 2 1
"2137" 3 1
"2138" 1 1
"2145" 7 2
"2146" 3 2
"2154" 3 1
"2156" 6 2
"2157" 1 1
"2164" 2 1
"2166" 2 2
"2167" 1 1
"2184" 1 1
"2191" 1 1
"2194" 4 2
"2195" 2 2
"2203" 1 1
"2208" 1 1
"2213" 2 1
"2238" 1 1
"2243" 3 1
"2251" 2 2
"2255" 1 1
"2256" 2 1
"2275" 1 1
"2288" 2 2
"2296" 1 1
"2297" 5 3
"2308" 3 2
"2337" 1 1
"2338" 2 1
"2349" 1 1
"2365" 14 3
"2381" 1 1
"2415" 1 1
"2452" 1 1
"2475" 1 1
"2487" 4 2
"2493" 1 1
"2507" 1 1
"2509" 1 1
"2511" 1 1
"2515" 3 2
"2517" 4 2
"2519" 2 2
"2521" 2 2
"2526" 3 1
"2528" 4 2
"2530" 2 1
"2554" 2 1
"2555" 1 1
"2564" 1 1
"2565" 23 3
"2566" 17 3
"2567" 3 2
"2575" 12 2
"2576" 14 3
"2586" 1 1
"2587" 1 1
"2601" 2 2
"2602" 4 3
"2606" 1 1
"2611" 7 3
"2612" 8 3
"2613" 3 1
"2614" 1 1
"2621" 7 2
"2622" 3 2
"2623" 1 1
"2631" 2 2
"2635" 1 1
"2636" 5 2
"2637" 1 1
"2643" 2 2
"2644" 4 2
"2645" 6 2
"2646" 7 3
"2655" 5 3
"2656" 4 2
"2662" 2 1
"2663" 1 1
"2666" 4 2
"2671" 1 1
"2672" 3 3
"2673" 3 2
"2683" 2 2
"2684" 8 3
"2685" 5 3
"2693" 1 1
"2694" 1 1
"2695" 8 3
"2696" 10 3
"2697" 3 1
"2698" 5 2
"2702" 1 1
"2707" 8 2
"2708" 1 1
"2711" 1 1
"2713" 1 1
"2720" 1 1
"2721" 1 1
"2727" 2 2
"2728" 1 1
"2729" 2 2
"2730" 6 2
"2737" 9 2
"2738" 2 2
"2741" 7 2
"2745" 1 1
"2748" 1 1
"2750" 1 1
"2753" 2 1
"2757" 2 2
"2758" 4 2
"2765" 1 1
"2766" 4 3
"2767" 1 1
"2772" 1 1
"2773" 1 1
"2774" 8 3
"2781" 1 1
"2787" 6 2
"2789" 3 2
"2791" 2 2
"2793" 2 2
"2794" 7 2
"2795" 7 2
"2802" 2 1
"2803" 3 2
"2806" 7 2
"2809" 1 1
"2814" 1 1
"2822" 10 3
"2824" 3 2
"2825" 1 1
"2829" 17 3
"2831" 2 2
"2832" 1 1
"2833" 6 4
"2836" 2 1
"2840" 2 2
"2845" 3 2
"2852" 3 2
"2854" 4 2
"2860" 1 1
"2863" 7 2
"2864" 9 3
"2869" 1 1
"2871" 1 1
"2873" 1 1
"2878" 1 1
"2885" 1 1
"2889" 11 3
"2890" 4 1
"2891" 1 1
"2892" 4 3
"2893" 5 2
"2897" 1 1
"2902" 3 2
"2903" 2 2
"2904" 5 2
"2905" 5 2
"2906" 1 1
"2915" 2 1
"2916" 2 2
"2918" 4 3
"2924" 1 1
"2927" 1 1
