"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"5347" NA 0 0 NA NA NA NA NA NA NA NA NA
"5350" NA NA 0 NA NA NA NA NA NA NA NA NA
"5353" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5354" NA NA NA NA NA NA 0 0 NA 0 0 NA
"5359" NA NA NA NA NA 0 0 0 NA NA NA NA
"5364" NA NA NA NA NA NA 0 NA NA 0 NA NA
"5371" NA NA 0 NA NA NA NA NA NA NA NA NA
"5372" NA NA 0 NA NA NA NA NA NA NA NA 0
"5373" NA NA NA NA NA NA NA NA NA NA NA 0
"5380" NA NA NA 0 0 NA 0 0 NA 0 NA NA
"5389" NA NA NA NA NA NA 0 NA NA NA NA NA
"5396" NA NA NA NA NA NA NA NA NA NA NA 0
"5397" NA NA NA 0 NA NA NA NA NA NA NA NA
"5398" NA NA 0 NA NA NA NA NA NA NA NA NA
"5399" 0 0 NA NA NA NA NA NA NA NA NA NA
"5406" NA NA NA 0 0 NA 0 NA NA 0 NA NA
"5411" NA NA NA NA NA 0 0 0 0 0 NA NA
"5416" NA NA NA 0 NA NA 0 0 NA NA NA NA
"5421" 0 NA 0 NA NA NA NA NA NA NA NA NA
"5424" NA 0 NA NA NA NA NA NA NA NA NA NA
"5426" NA 0 NA NA NA NA NA NA NA NA NA NA
"5427" NA NA 0 NA NA NA NA NA NA NA NA NA
"5428" NA 0 NA NA NA NA NA NA NA NA NA NA
"5434" NA NA NA NA NA NA NA NA NA 0 NA NA
"5446" NA NA 0 NA NA NA NA NA NA NA NA NA
"5449" NA 0 NA NA NA NA NA NA NA NA NA NA
"5452" NA NA NA NA NA NA NA NA NA NA NA 0
"5453" NA NA 0 NA NA NA NA NA NA NA NA NA
"5454" 0 NA NA NA NA NA NA NA NA NA NA NA
"5456" NA 0 NA NA NA NA NA NA NA NA NA NA
"5461" NA NA NA NA NA NA 0 NA NA NA NA NA
"5468" NA NA NA NA NA NA NA NA 0 0 NA NA
"5474" NA NA NA 0 NA NA 0 NA NA 0 NA NA
"5492" NA 0 NA NA NA NA NA NA NA NA NA NA
"5494" NA NA NA NA NA NA NA 0 NA NA NA NA
"5501" NA NA NA NA NA NA NA 1 NA NA 0 NA
"5506" NA NA NA 0 NA NA 0 NA NA NA NA NA
"5526" NA NA NA NA NA NA NA NA NA 0 NA NA
"5539" NA NA NA NA NA NA NA NA NA 0 NA NA
"5543" NA 0 NA NA NA NA NA NA NA NA NA NA
"5560" NA NA NA NA NA NA 0 0 NA 0 NA NA
"5566" NA NA NA NA NA 0 0 0 0 NA 0 NA
"5594" NA NA 0 NA NA NA NA NA NA NA NA NA
"5600" NA NA NA NA NA 0 0 0 NA NA 0 NA
"5617" NA 0 NA NA NA NA NA NA NA NA NA NA
"5628" NA 0 NA NA NA NA NA NA NA NA NA NA
"5630" NA NA NA 0 0 NA NA NA NA NA NA NA
"5636" NA NA NA NA NA 0 0 0 NA NA NA NA
"5640" NA NA NA NA NA NA 0 NA NA NA NA NA
"5666" NA NA NA NA NA NA 0 NA NA NA NA NA
"5674" NA NA NA NA NA NA 0 0 NA NA NA NA
"5675" NA NA NA NA NA NA 0 NA NA NA NA NA
"5705" NA NA NA 0 NA 0 NA NA NA NA NA NA
"5714" NA NA NA NA NA 0 0 1 0 NA NA NA
"5715" 0 0 NA NA NA NA NA NA NA NA NA NA
"5717" NA NA NA NA NA NA NA NA 0 NA NA NA
"5745" NA NA NA NA 0 NA NA NA NA NA NA NA
"5746" NA NA NA 0 NA NA 0 NA NA NA NA NA
"5755" 1 NA 0 NA 0 0 0 0 0 0 NA 0
"5759" NA NA NA NA NA NA 0 NA NA 0 NA NA
"5786" NA NA NA NA 0 NA NA NA NA NA NA NA
"5787" NA 0 NA NA NA NA NA NA NA NA NA NA
"5797" NA NA NA NA NA NA NA 0 NA NA NA NA
"5829" NA 0 NA NA NA NA NA NA NA NA NA NA
"5834" NA NA NA NA NA NA NA 0 NA NA NA NA
"5841" NA NA NA 1 0 0 1 0 0 NA NA NA
"5842" NA NA NA NA NA 1 NA 0 0 NA NA NA
"5876" NA NA 0 NA NA NA NA NA NA NA NA NA
"5879" NA NA NA NA 0 0 NA NA NA NA NA NA
"5888" NA NA NA NA NA 1 NA 1 0 NA 1 NA
"5889" NA NA NA NA NA 0 0 0 NA 0 NA NA
"5927" NA NA NA 0 0 NA NA NA NA NA NA NA
"5936" NA NA NA NA NA 0 NA 0 0 0 NA NA
"5937" NA NA NA NA NA 0 0 NA 0 NA NA NA
"5938" NA NA NA NA NA NA NA NA 0 NA NA NA
"5959" NA NA 0 NA NA NA NA NA NA NA NA NA
"5972" NA NA NA NA 0 NA NA NA NA NA NA NA
"5974" NA NA NA NA NA 0 NA NA NA NA NA NA
"5975" NA NA NA 0 NA NA NA 0 NA NA NA NA
"5984" NA NA NA NA NA 0 NA NA 0 NA 0 NA
"5985" NA NA NA NA NA 0 0 0 0 NA NA NA
"5989" NA 0 NA NA NA NA NA NA NA NA NA NA
"6021" NA 0 NA NA NA NA NA NA NA NA NA NA
"6022" NA NA NA NA NA NA NA NA NA NA NA 0
