"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
"11256" NA NA NA 0 NA NA NA NA NA NA NA NA
"11257" NA NA NA 0 NA NA NA NA NA NA NA NA
"11260" 0 NA NA NA NA NA NA NA NA NA NA NA
"11262" NA 0 0 NA NA NA 0 NA NA NA NA NA
"11266" NA NA NA NA NA NA NA NA NA 1 NA NA
"11270" NA NA NA NA NA NA NA NA NA 0 NA NA
"11276" NA NA NA NA 1 0 NA 0 NA NA NA NA
"11277" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11290" NA NA NA 0 NA NA NA NA NA NA NA NA
"11293" 0 NA NA 1 NA NA NA NA NA NA NA 0
"11294" NA 0 0 0 NA 1 NA 0 0 NA 0 0
"11295" NA 0 0 NA NA NA NA NA 0 NA NA 0
"11298" NA NA NA NA NA NA NA NA NA NA 0 NA
"11305" NA NA NA NA NA NA NA 0 NA NA NA NA
"11309" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11310" NA NA NA NA 0 NA NA NA NA NA NA NA
"11326" NA NA NA 0 NA NA NA NA NA NA NA NA
"11328" NA NA NA 0 NA 0 NA NA NA NA NA NA
"11329" 0 0 0 1 NA 1 NA NA NA NA 0 1
"11330" NA 0 0 NA NA NA 0 NA 0 NA 0 0
"11331" NA NA 0 NA NA NA NA NA 0 NA NA NA
"11334" NA NA NA 0 NA NA NA NA NA NA NA NA
"11336" NA 1 NA NA NA NA NA NA NA NA NA NA
"11344" NA NA NA NA NA NA 0 NA NA NA NA NA
"11345" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11362" NA NA NA 0 NA NA NA NA NA NA NA NA
"11363" NA 0 NA 0 NA NA NA 0 NA NA NA 0
"11364" NA 0 0 0 NA NA NA NA NA NA 0 1
"11365" NA 0 NA NA 0 NA NA 0 NA NA 0 NA
"11368" NA NA NA NA NA NA NA NA NA 1 NA NA
"11369" NA NA NA 0 NA NA NA NA NA NA NA NA
"11379" NA NA NA NA 0 0 NA 0 NA 0 NA NA
"11380" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11398" NA NA NA NA NA NA NA NA NA NA NA 0
"11399" NA 0 0 0 NA NA NA NA NA NA NA 1
"11400" NA 0 0 0 NA NA NA NA NA NA NA NA
"11401" NA NA 0 0 NA NA NA NA NA NA NA 0
"11404" NA NA NA NA NA 1 NA NA NA NA NA NA
"11415" NA NA NA NA 1 0 NA 0 NA NA NA NA
"11416" NA NA NA NA 0 0 NA 0 NA NA NA NA
"11427" NA NA NA 1 NA NA NA NA NA NA NA NA
"11435" NA 0 0 0 0 NA NA NA 0 NA 0 NA
"11436" NA 0 0 0 NA NA NA 0 NA NA 0 NA
"11440" NA NA 1 1 NA NA NA NA NA NA NA NA
"11449" NA NA NA NA NA NA NA NA 0 NA NA NA
"11450" NA NA NA NA NA 1 NA NA NA 1 NA NA
